-0.090	-1.591
-0.096	-1.763
-0.096	-2.086
-0.090	-2.327
-0.096	-2.379
-0.108	-2.333
-0.114	-2.357
-0.114	-2.593
-0.120	-2.821
-0.120	-2.936
-0.108	-3.010
-0.096	-3.054
-0.090	-2.883
-0.084	-2.566
-0.078	-2.310
-0.078	-2.134
-0.066	-2.000
-0.066	-1.857
-0.066	-1.735
-0.066	-1.562
-0.060	-1.568
-0.036	-1.567
-0.048	-1.380
-0.060	-1.093
-0.060	-0.924
-0.054	-1.226
-0.072	-1.351
-0.078	-1.368
-0.084	-1.485
-0.072	-1.848
-0.066	-1.946
-0.078	-1.869
-0.096	-1.671
-0.102	-1.784
-0.102	-2.168
-0.114	-2.476
-0.126	-2.606
-0.132	-2.777
-0.132	-3.101
-0.120	-3.348
-0.114	-3.385
-0.114	-3.235
-0.108	-3.008
-0.102	-2.900
-0.090	-2.824
-0.096	-2.613
-0.096	-2.433
-0.090	-2.327
-0.090	-2.386
-0.084	-2.331
-0.102	-2.196
-0.120	-2.200
-0.132	-2.367
-0.144	-2.853
-0.162	-3.271
-0.180	-3.630
-0.186	-4.064
-0.180	-4.542
-0.156	-4.862
-0.162	-4.769
-0.174	-4.453
-0.168	-4.230
-0.162	-4.417
-0.150	-4.515
-0.138	-4.324
-0.126	-4.073
-0.114	-3.735
-0.102	-3.397
-0.096	-3.052
-0.090	-2.735
-0.078	-2.486
-0.054	-2.309
-0.054	-1.988
-0.036	-1.591
-0.018	-1.179
-0.012	-0.919
-0.012	-0.448
0.000	-0.140
0.006	-0.004
0.012	0.140
0.018	0.395
0.030	0.558
0.042	0.748
0.060	0.993
0.066	1.366
0.066	1.750
0.072	2.065
0.102	2.146
0.108	2.341
0.114	2.754
0.114	3.277
0.108	3.431
0.102	3.496
0.090	3.421
0.096	3.210
0.096	3.030
0.102	2.910
0.096	3.032
0.078	3.085
0.060	3.046
0.066	2.686
0.072	2.264
0.078	2.086
0.078	2.262
0.090	2.396
0.096	2.533
0.096	2.683
0.078	2.937
0.072	2.946
0.078	2.728
0.090	2.422
0.084	2.459
0.078	2.646
0.066	2.744
0.054	2.554
0.042	2.302
0.042	1.951
0.018	1.682
0.024	1.389
0.018	1.181
0.018	0.866
0.018	0.892
0.018	0.806
0.024	0.799
0.042	0.807
0.054	0.939
0.078	1.238
0.072	1.739
0.078	2.121
0.084	2.429
0.114	2.398
0.126	2.673
0.138	3.107
0.162	3.692
0.174	4.086
0.168	4.566
0.174	5.000
